2018.09.10,311 ,8.00,-2.51%,"23,664,482"
2018.09.11,303 ,8.00,-2.57%,"22,338,639"
2018.09.12,307 ,4.00,+1.32%,"23,851,510"
2018.09.13,317 ,10.00,+3.26%,"31,598,266"
2018.09.14,314 ,3.00,-0.95%,"21,101,809"
2018.09.15,317 ,3.00,+0.96%,"12,575,867"
2018.09.16,318 ,1.00,+0.32%,"11,392,492"
2018.09.17,311 ,7.00,-2.20%,"17,631,117"
2018.09.18,365 ,54.00,+17.36%,"150,945,020"
2018.09.19,371 ,6.00,+1.64%,"81,101,860"
2018.09.20,506 ,135,+36.39%,"267,162,318"
2018.09.21,628 ,122,+24.11%,"880,294,889"
2018.09.22,641 ,13.00,+2.07%,"622,448,870"
2018.09.23,640 ,1.00,-0.16%,"203,899,685"
2018.09.24,555 ,85.00,-13.28%,"190,231,685"
2018.09.25,595 ,40.00,+7.21%,"345,118,162"
2018.09.26,579 ,16.00,-2.69%,"395,326,144"
2018.09.27,605 ,26.00,+4.49%,"160,139,902"
2018.09.28,603 ,2.00,-0.33%,"117,470,909"
2018.09.29,634 ,31.00,+5.14%,"220,253,268"
2018.09.30,651 ,17.00,+2.68%,"287,204,151"
2018.10.01,644 ,7.00,-1.08%,"283,074,688"
2018.10.02,585 ,59.00,-9.16%,"105,057,568"
2018.10.03,600 ,15.00,+2.56%,"136,955,175"
2018.10.04,600 ,0,0.00%,"78,853,857"
2018.10.05,590 ,10.00,-1.67%,"57,959,991"
2018.10.06,554 ,36.00,-6.10%,"80,354,835"
2018.10.07,547 ,7.00,-1.26%,"59,616,063"
2018.10.08,557 ,10.00,+1.83%,"62,619,409"
2018.10.09,546 ,11.00,-1.97%,"32,282,255"
2018.10.10,525 ,21.00,-3.85%,"53,396,573"
2018.10.11,441 ,84.00,-16.00%,"153,343,294"
2018.10.12,480 ,39.00,+8.84%,"189,877,447"
2018.10.13,480 ,0,0.00%,"37,890,861"
2018.10.14,464 ,16.00,-3.33%,"33,708,926"
2018.10.15,506 ,42.00,+9.05%,"244,301,648"
2018.10.16,526 ,20.00,+3.95%,"90,477,371"
2018.10.17,526 ,0,0.00%,"71,701,673"
2018.10.18,520 ,6.00,-1.14%,"50,236,675"
2018.10.19,515 ,5.00,-0.96%,"36,692,382"
2018.10.20,519 ,4.00,+0.78%,"25,437,834"
2018.10.21,516 ,3.00,-0.58%,"16,601,895"
2018.10.22,512 ,4.00,-0.78%,"24,020,019"
2018.10.23,521 ,9.00,+1.76%,"52,394,261"
2018.10.24,515 ,6.00,-1.15%,"29,569,915"
2018.10.25,516 ,1.00,+0.19%,"20,435,016"
2018.10.26,517 ,1.00,+0.19%,"17,395,019"
2018.10.27,515 ,2.00,-0.39%,"9,512,961"
2018.10.28,518 ,3.00,+0.58%,"8,496,678"
2018.10.29,497 ,21.00,-4.05%,"37,909,892"
2018.10.30,504 ,7.00,+1.41%,"17,356,544"
2018.10.31,510 ,6.00,+1.19%,"20,946,736"
2018.11.01,516 ,6.00,+1.18%,"11,821,618"
2018.11.02,517 ,1.00,+0.19%,"19,622,832"
2018.11.03,512 ,5.00,-0.97%,"12,856,636"
2018.11.04,523 ,11.00,+2.15%,"43,209,612"
2018.11.05,557 ,34.00,+6.50%,"97,985,455"
2018.11.06,615 ,58.00,+10.41%,"305,864,346"
2018.11.07,599 ,16.00,-2.60%,"88,577,654"
2018.11.08,559 ,40.00,-6.68%,"92,932,447"
2018.11.09,569 ,10.00,+1.79%,"64,119,492"
2018.11.10,573 ,4.00,+0.70%,"24,522,866"
2018.11.11,573 ,0,0.00%,"23,570,042"
2018.11.12,590 ,17.00,+2.97%,"57,859,951"
2018.11.13,581 ,9.00,-1.53%,"44,389,753"
2018.11.14,555 ,26.00,-4.48%,"154,998,121"
2018.11.15,555 ,0,0.00%,"199,033,115"
2018.11.16,545 ,10.00,-1.80%,"70,971,194"
2018.11.17,565 ,20.00,+3.67%,"57,695,451"
2018.11.18,585 ,20.00,+3.54%,"111,036,220"
2018.11.19,552 ,33.00,-5.64%,"247,634,739"
2018.11.20,503 ,49.00,-8.88%,"363,186,239"
2018.11.21,513 ,10.00,+1.99%,"165,570,458"
2018.11.22,485 ,28.00,-5.46%,"55,531,051"
2018.11.23,470 ,15.00,-3.09%,"135,874,431"
2018.11.24,434 ,36.00,-7.66%,"91,110,906"
2018.11.25,431 ,3.00,-0.69%,"334,004,063"
2018.11.26,411 ,20.00,-4.64%,"228,643,406"
2018.11.27,412 ,1.00,+0.24%,"100,116,300"
2018.11.28,440 ,28.00,+6.80%,"148,576,029"
2018.11.29,429 ,11.00,-2.50%,"98,843,919"
2018.11.30,411 ,18.00,-4.20%,"69,311,539"
2018.12.01,419 ,8.00,+1.95%,"49,600,588"
2018.12.02,417 ,2.00,-0.48%,"38,802,821"
2018.12.03,394 ,23.00,-5.52%,"49,483,780"
2018.12.04,398 ,4.00,+1.02%,"74,180,907"
2018.12.05,383 ,15.00,-3.77%,"42,750,133"
2018.12.06,350 ,33.00,-8.62%,"83,568,029"
2018.12.07,342 ,8.00,-2.29%,"104,919,854"
2018.12.08,345 ,3.00,+0.88%,"72,102,792"
2018.12.09,351 ,6.00,+1.74%,"65,386,849"
2018.12.10,339 ,12.00,-3.42%,"41,067,472"
2018.12.11,339 ,0,0.00%,"51,752,413"
2018.12.12,344 ,5.00,+1.47%,"36,947,460"
2018.12.13,337 ,7.00,-2.03%,"26,984,018"
2018.12.14,325 ,12.00,-3.56%,"31,210,387"
2018.12.15,320 ,5.00,-1.54%,"21,085,526"
2018.12.16,323 ,3.00,+0.94%,"30,997,904"
2018.12.17,365 ,42.00,+13.00%,"102,776,465"
2018.12.18,391 ,26.00,+7.12%,"166,530,523"
2018.12.19,388 ,3.00,-0.77%,"310,853,955"
2018.12.20,418 ,30.00,+7.73%,"294,844,583"
2018.12.21,400 ,18.00,-4.31%,"215,914,783"
2018.12.22,404 ,4.00,+1.00%,"71,077,813"
2018.12.23,414 ,10.00,+2.48%,"115,845,377"
2018.12.24,454 ,40.00,+9.66%,"640,291,953"
2018.12.25,426 ,28.00,-6.17%,"341,043,354"
2018.12.26,424 ,2.00,-0.47%,"176,637,949"
2018.12.27,386 ,38.00,-8.96%,"103,338,366"
