602 ,12.00,-1.95%,"21,631,567"
600 ,2.00,-0.33%,"9,481,719"
555 ,45.00,-7.50%,"21,280,044"
557 ,2.00,+0.36%,"10,848,527"
539 ,18.00,-3.23%,"24,434,488"
540 ,1.00,+0.19%,"14,675,267"
515 ,25.00,-4.63%,"8,111,421"
530 ,15.00,+2.91%,"10,543,009"
507 ,23.00,-4.34%,"8,705,155"
509 ,2.00,+0.39%,"20,884,309"
524 ,15.00,+2.95%,"25,862,581"
515 ,9.00,-1.72%,"15,362,746"
540 ,25.00,+4.85%,"24,582,935"
542 ,2.00,+0.37%,"32,391,716"
546 ,4.00,+0.74%,"25,739,603"
538 ,8.00,-1.47%,"16,887,956"
539 ,1.00,+0.19%,"13,481,528"
542 ,3.00,+0.56%,"5,386,625"
536 ,6.00,-1.11%,"8,417,617"
530 ,6.00,-1.12%,"7,519,096"
503 ,27.00,-5.09%,"14,225,582"
508 ,5.00,+0.99%,"10,521,595"
499 ,9.00,-1.77%,"10,641,042"
498 ,1.00,-0.20%,"11,135,911"
499 ,1.00,+0.20%,"6,403,426"
504 ,5.00,+1.00%,"8,273,331"
533 ,29.00,+5.75%,"20,532,341"
558 ,25.00,+4.69%,"21,052,491"
550 ,8.00,-1.43%,"32,233,217"
539 ,11.00,-2.00%,"16,609,406"
506 ,33.00,-6.12%,"23,612,251"
514 ,8.00,+1.58%,"11,665,564"
506 ,8.00,-1.56%,"9,897,103"
505 ,1.00,-0.20%,"15,006,853"
516 ,11.00,+2.18%,"29,251,713"
514 ,2.00,-0.39%,"30,534,338"
507 ,7.00,-1.36%,"14,897,034"
507 ,0,0.00%,"16,646,010"
512 ,5.00,+0.99%,"6,011,842"
510 ,2.00,-0.39%,"4,920,877"
506 ,4.00,-0.78%,"10,658,174"
495 ,11.00,-2.17%,"14,024,916"
512 ,17.00,+3.43%,"41,772,309"
498 ,14.00,-2.73%,"15,517,242"
505 ,7.00,+1.41%,"23,506,579"
494 ,11.00,-2.18%,"11,645,088"
498 ,4.00,+0.81%,"11,998,675"
475 ,23.00,-4.62%,"17,805,922"
437 ,38.00,-8.00%,"30,542,913"
387 ,50.00,-11.44%,"45,812,645"
398 ,11.00,+2.84%,"49,161,836"
375 ,23.00,-5.78%,"25,614,474"
351 ,24.00,-6.40%,"39,686,507"
347 ,4.00,-1.14%,"16,343,628"
325 ,22.00,-6.34%,"26,332,800"
319 ,6.00,-1.85%,"44,478,223"
328 ,9.00,+2.82%,"39,918,695"
339 ,11.00,+3.35%,"25,331,772"
419 ,80.00,+23.60%,"63,429,540"
380 ,39.00,-9.31%,"74,479,663"
393 ,13.00,+3.42%,"53,655,474"
366 ,27.00,-6.87%,"46,731,915"
376 ,10.00,+2.73%,"29,794,627"
365 ,11.00,-2.93%,"44,918,204"
372 ,7.00,+1.92%,"30,579,024"
370 ,2.00,-0.54%,"31,420,618"
369 ,1.00,-0.27%,"18,466,872"
364 ,5.00,-1.36%,"16,999,158"
378 ,14.00,+3.85%,"25,132,657"
389 ,11.00,+2.91%,"35,342,181"
383 ,6.00,-1.54%,"37,560,740"
377 ,6.00,-1.57%,"29,025,955"
375 ,2.00,-0.53%,"19,292,441"
386 ,11.00,+2.93%,"26,496,266"
380 ,6.00,-1.55%,"22,852,622"
374 ,6.00,-1.58%,"15,011,754"
372 ,2.00,-0.53%,"27,292,545"
321 ,51.00,-13.71%,"54,322,577"
348 ,27.00,+8.41%,"54,801,931"
332 ,16.00,-4.60%,"28,432,367"
322 ,10.00,-3.01%,"18,380,790"
319 ,3.00,-0.93%,"19,928,640"
311 ,8.00,-2.51%,"23,664,482"
303 ,8.00,-2.57%,"22,338,639"
307 ,4.00,+1.32%,"23,851,510"
317 ,10.00,+3.26%,"31,598,266"
314 ,3.00,-0.95%,"21,101,809"
